NumTetCells= 99540
id1 id2 id3 id4
6195 6105 6323 17380
16290 16740 17380 6105
6105 16740 17380 6195
16740 16290 17380 17381
16291 16741 17381 16290
16290 16741 17381 16740
16741 16291 17381 17382
16292 16742 17382 16291
16291 16742 17382 16741
16742 16292 17382 17383
16293 16743 17383 16292
16292 16743 17383 16742
16743 16293 17383 17384
16294 16744 17384 16293
16293 16744 17384 16743
16744 16294 17384 8230
8012 8102 8230 16294
16294 8102 8230 16744
6140 5630 6402 17775
13915 16465 17775 5630
5630 16465 17775 6140
16465 13915 17775 17776
13916 16466 17776 13915
13915 16466 17776 16465
16466 13916 17776 17777
13917 16467 17777 13916
13916 16467 17777 16466
16467 13917 17777 17778
13918 16468 17778 13917
13917 16468 17778 16467
16468 13918 17778 17779
13919 16469 17779 13918
13918 16469 17779 16468
16469 13919 17779 8309
7537 8047 8309 13919
13919 8047 8309 16469
5646 5858 6541 18470
15055 13995 18470 5858
5858 13995 18470 5646
13995 15055 18470 18471
15056 13996 18471 15055
15055 13996 18471 13995
13996 15056 18471 18472
15057 13997 18472 15056
15056 13997 18472 13996
13997 15057 18472 18473
15058 13998 18473 15057
15057 13998 18473 13997
13998 15058 18473 18474
15059 13999 18474 15058
15058 13999 18474 13998
13999 15059 18474 8448
7765 7553 8448 15059
15059 7553 8448 13999
5717 4986 6033 15930
10695 14350 15930 4986
4986 14350 15930 5717
14350 10695 15930 15931
10696 14351 15931 10695
10695 14351 15931 14350
14351 10696 15931 15932
10697 14352 15932 10696
10696 14352 15932 14351
14352 10697 15932 15933
10698 14353 15933 10697
10697 14353 15933 14352
14353 10698 15933 15934
10699 14354 15934 10698
10698 14354 15934 14353
14354 10699 15934 7940
6893 7624 7940 10699
10699 7624 7940 14354
5881 6041 6181 16670
15970 15170 16670 6041
6041 15170 16670 5881
15170 15970 16670 16671
15971 15171 16671 15970
15970 15171 16671 15170
15171 15971 16671 16672
15972 15172 16672 15971
15971 15172 16672 15171
15172 15972 16672 16673
15973 15173 16673 15972
15972 15173 16673 15172
15173 15973 16673 16674
15974 15174 16674 15973
15973 15174 16674 15173
15174 15974 16674 8088
7948 7788 8088 15974
15974 7788 8088 15174
5034 5748 6236 16945
14505 10935 16945 5748
5748 10935 16945 5034
10935 14505 16945 16946
14506 10936 16946 14505
14505 10936 16946 10935
10936 14506 16946 16947
14507 10937 16947 14506
14506 10937 16947 10936
10937 14507 16947 16948
14508 10938 16948 14507
14507 10938 16948 10937
10938 14508 16948 16949
14509 10939 16949 14508
14508 10939 16949 10938
10939 14509 16949 8143
7655 6941 8143 14509
14509 6941 8143 10939
5648 5408 6005 15790
12805 14005 15790 5408
5408 14005 15790 5648
14005 12805 15790 15791
12806 14006 15791 12805
12805 14006 15791 14005
14006 12806 15791 15792
12807 14007 15792 12806
12806 14007 15792 14006
14007 12807 15792 15793
12808 14008 15793 12807
12807 14008 15793 14007
14008 12808 15793 15794
12809 14009 15794 12808
12808 14009 15794 14008
14009 12809 15794 7912
7315 7555 7912 12809
12809 7555 7912 14009
6381 5591 6538 18455
13720 17670 18455 5591
5591 17670 18455 6381
17670 13720 18455 18456
13721 17671 18456 13720
13720 17671 18456 17670
17671 13721 18456 18457
13722 17672 18457 13721
13721 17672 18457 17671
17672 13722 18457 18458
13723 17673 18458 13722
13722 17673 18458 17672
17673 13723 18458 18459
13724 17674 18459 13723
13723 17674 18459 17673
17674 13724 18459 8445
7498 8288 8445 13724
13724 8288 8445 17674
5517 6429 6451 18020
17910 13350 18020 6429
6429 13350 18020 5517
13350 17910 18020 18021
17911 13351 18021 17910
17910 13351 18021 13350
13351 17911 18021 18022
17912 13352 18022 17911
17911 13352 18022 13351
13352 17912 18022 18023
17913 13353 18023 17912
17912 13353 18023 13352
13353 17913 18023 18024
17914 13354 18024 17913
17913 13354 18024 13353
13354 17914 18024 8358
8336 7424 8358 17914
17914 7424 8358 13354
4986 5717 6612 18825
14350 10695 18825 4986
5717 4986 14350 18825
10695 14350 18825 18826
14351 10696 18826 10695
14350 10695 14351 18826
10696 14351 18826 18827
14352 10697 18827 10696
14351 10696 14352 18827
10697 14352 18827 18828
14353 10698 18828 10697
14352 10697 14353 18828
10698 14353 18828 18829
14354 10699 18829 10698
14353 10698 14354 18829
10699 14354 18829 8519
7624 6893 8519 10699
14354 10699 7624 8519
6079 6307 6488 18205
17300 16160 18205 6307
6307 16160 18205 6079
16160 17300 18205 18206
17301 16161 18206 17300
17300 16161 18206 16160
16161 17301 18206 18207
17302 16162 18207 17301
17301 16162 18207 16161
16162 17302 18207 18208
17303 16163 18208 17302
17302 16163 18208 16162
16163 17303 18208 18209
17304 16164 18209 17303
17303 16164 18209 16163
16164 17304 18209 8395
8214 7986 8395 17304
17304 7986 8395 16164
5595 4979 6087 16200
10660 13740 16200 4979
4979 13740 16200 5595
13740 10660 16200 16201
10661 13741 16201 10660
10660 13741 16201 13740
13741 10661 16201 16202
10662 13742 16202 10661
10661 13742 16202 13741
13742 10662 16202 16203
10663 13743 16203 10662
10662 13743 16203 13742
13743 10663 16203 16204
10664 13744 16204 10663
10663 13744 16204 13743
13744 10664 16204 7994
6886 7502 7994 10664
